metric,condition_id,condition_label,total_steps_est,mean,std,runs
Train_mean_reward,E0,four_leg_stand,3932160,39.38167953491211,0.0,1
Train_mean_reward,E0,four_leg_stand,3956736,39.38619613647461,0.0,1
Train_mean_reward,E0,four_leg_stand,3981312,39.38825988769531,0.0,1
Train_mean_reward,E0,four_leg_stand,4005888,39.39020156860352,0.0,1
Train_mean_reward,E0,four_leg_stand,4030464,39.395118713378906,0.0,1
Train_mean_reward,E0,four_leg_stand,4055040,39.40011596679688,0.0,1
Train_mean_reward,E0,four_leg_stand,4079616,39.40300369262695,0.0,1
Train_mean_reward,E0,four_leg_stand,4104192,39.40696716308594,0.0,1
Train_mean_reward,E0,four_leg_stand,4128768,39.46384811401367,0.0,1
Train_mean_reward,E0,four_leg_stand,4153344,39.47135543823242,0.0,1
Train_mean_reward,E0,four_leg_stand,4177920,39.480106353759766,0.0,1
Train_mean_reward,E0,four_leg_stand,4202496,39.48618316650391,0.0,1
Train_mean_reward,E0,four_leg_stand,4227072,39.48820495605469,0.0,1
Train_mean_reward,E0,four_leg_stand,4251648,39.49062347412109,0.0,1
Train_mean_reward,E0,four_leg_stand,4276224,39.49347305297852,0.0,1
Train_mean_reward,E0,four_leg_stand,4300800,39.498931884765625,0.0,1
Train_mean_reward,E0,four_leg_stand,4325376,39.50847625732422,0.0,1
Train_mean_reward,E0,four_leg_stand,4349952,39.51237487792969,0.0,1
Train_mean_reward,E0,four_leg_stand,4374528,39.513671875,0.0,1
Train_mean_reward,E0,four_leg_stand,4399104,39.51689529418945,0.0,1
Train_mean_reward,E0,four_leg_stand,4423680,39.51928329467773,0.0,1
Train_mean_reward,E0,four_leg_stand,4448256,39.520877838134766,0.0,1
Train_mean_reward,E0,four_leg_stand,4472832,39.5240478515625,0.0,1
Train_mean_reward,E0,four_leg_stand,4497408,39.525638580322266,0.0,1
Train_mean_reward,E0,four_leg_stand,4521984,39.52783966064453,0.0,1
Train_mean_reward,E0,four_leg_stand,4546560,39.52960586547852,0.0,1
Train_mean_reward,E0,four_leg_stand,4571136,39.53237533569336,0.0,1
Train_mean_reward,E0,four_leg_stand,4595712,39.5344352722168,0.0,1
Train_mean_reward,E0,four_leg_stand,4620288,39.53618240356445,0.0,1
Train_mean_reward,E0,four_leg_stand,4644864,39.56641387939453,0.0,1
Train_mean_reward,E0,four_leg_stand,4669440,39.56652069091797,0.0,1
Train_mean_reward,E0,four_leg_stand,4694016,39.570404052734375,0.0,1
Train_mean_reward,E0,four_leg_stand,4718592,39.57033157348633,0.0,1
Train_mean_reward,E0,four_leg_stand,4743168,39.57075881958008,0.0,1
Train_mean_reward,E0,four_leg_stand,4767744,39.5713119506836,0.0,1
Train_mean_reward,E0,four_leg_stand,4792320,39.57234954833984,0.0,1
Train_mean_reward,E0,four_leg_stand,4816896,39.57960891723633,0.0,1
Train_mean_reward,E0,four_leg_stand,4841472,39.58391571044922,0.0,1
Train_mean_reward,E0,four_leg_stand,4866048,39.58800506591797,0.0,1
Train_mean_reward,E0,four_leg_stand,4890624,39.58871078491211,0.0,1
Train_mean_reward,E0,four_leg_stand,4915200,39.58856201171875,0.0,1
Train_mean_reward,E0,four_leg_stand,4939776,39.58848571777344,0.0,1
Train_mean_reward,E0,four_leg_stand,4964352,39.58880233764648,0.0,1
Train_mean_reward,E0,four_leg_stand,4988928,39.588863372802734,0.0,1
Train_mean_reward,E0,four_leg_stand,5013504,39.58966827392578,0.0,1
Train_mean_reward,E0,four_leg_stand,5038080,39.58952713012695,0.0,1
Train_mean_reward,E0,four_leg_stand,5062656,39.58999252319336,0.0,1
Train_mean_reward,E0,four_leg_stand,5087232,39.59026718139648,0.0,1
Train_mean_reward,E0,four_leg_stand,5111808,39.59012985229492,0.0,1
Train_mean_reward,E0,four_leg_stand,5136384,39.59124374389648,0.0,1
Train_mean_reward,E0,four_leg_stand,5160960,39.60347366333008,0.0,1
Train_mean_reward,E0,four_leg_stand,5185536,39.603458404541016,0.0,1
Train_mean_reward,E0,four_leg_stand,5210112,39.60405731201172,0.0,1
Train_mean_reward,E0,four_leg_stand,5234688,39.60459518432617,0.0,1
Train_mean_reward,E0,four_leg_stand,5259264,39.60478591918945,0.0,1
Train_mean_reward,E0,four_leg_stand,5283840,39.60444641113281,0.0,1
Train_mean_reward,E0,four_leg_stand,5308416,39.60480499267578,0.0,1
Train_mean_reward,E0,four_leg_stand,5332992,39.60566711425781,0.0,1
Train_mean_reward,E0,four_leg_stand,5357568,39.608154296875,0.0,1
Train_mean_reward,E0,four_leg_stand,5382144,39.60758590698242,0.0,1
Train_mean_reward,E0,four_leg_stand,5406720,39.60824966430664,0.0,1
Train_mean_reward,E0,four_leg_stand,5431296,39.60757446289063,0.0,1
Train_mean_reward,E0,four_leg_stand,5455872,39.607688903808594,0.0,1
Train_mean_reward,E0,four_leg_stand,5480448,39.60791778564453,0.0,1
Train_mean_reward,E0,four_leg_stand,5505024,39.60796356201172,0.0,1
Train_mean_reward,E0,four_leg_stand,5529600,39.60847854614258,0.0,1
Train_mean_reward,E0,four_leg_stand,5554176,39.6074333190918,0.0,1
Train_mean_reward,E0,four_leg_stand,5578752,39.60761642456055,0.0,1
Train_mean_reward,E0,four_leg_stand,5603328,39.60801696777344,0.0,1
Train_mean_reward,E0,four_leg_stand,5627904,39.607852935791016,0.0,1
Train_mean_reward,E0,four_leg_stand,5652480,39.60865783691406,0.0,1
Train_mean_reward,E0,four_leg_stand,5677056,39.61198806762695,0.0,1
Train_mean_reward,E0,four_leg_stand,5701632,39.61274337768555,0.0,1
Train_mean_reward,E0,four_leg_stand,5726208,39.61310195922852,0.0,1
Train_mean_reward,E0,four_leg_stand,5750784,39.61160659790039,0.0,1
Train_mean_reward,E0,four_leg_stand,5775360,39.61188888549805,0.0,1
Train_mean_reward,E0,four_leg_stand,5799936,39.612831115722656,0.0,1
Train_mean_reward,E0,four_leg_stand,5824512,39.61239242553711,0.0,1
Train_mean_reward,E0,four_leg_stand,5849088,39.61080551147461,0.0,1
Train_mean_reward,E0,four_leg_stand,5873664,39.60838317871094,0.0,1
Train_mean_reward,E0,four_leg_stand,5898240,39.60490036010742,0.0,1
Train_mean_reward,E0,four_leg_stand,5922816,39.60711669921875,0.0,1
Train_mean_reward,E0,four_leg_stand,5947392,39.60689926147461,0.0,1
Train_mean_reward,E0,four_leg_stand,5971968,39.607078552246094,0.0,1
Train_mean_reward,E0,four_leg_stand,5996544,39.6067008972168,0.0,1
Train_mean_reward,E0,four_leg_stand,6021120,39.60643768310547,0.0,1
Train_mean_reward,E0,four_leg_stand,6045696,39.60585784912109,0.0,1
Train_mean_reward,E0,four_leg_stand,6070272,39.60476303100586,0.0,1
Train_mean_reward,E0,four_leg_stand,6094848,39.60490417480469,0.0,1
Train_mean_reward,E0,four_leg_stand,6119424,39.604190826416016,0.0,1
Train_mean_reward,E0,four_leg_stand,6144000,39.604251861572266,0.0,1
Train_mean_reward,E0,four_leg_stand,6168576,39.60419464111328,0.0,1
Train_mean_reward,E0,four_leg_stand,6193152,39.60527420043945,0.0,1
Train_mean_reward,E0,four_leg_stand,6217728,39.6038703918457,0.0,1
Train_mean_reward,E0,four_leg_stand,6242304,39.60260009765625,0.0,1
Train_mean_reward,E0,four_leg_stand,6266880,39.602298736572266,0.0,1
Train_mean_reward,E0,four_leg_stand,6291456,39.60177230834961,0.0,1
Train_mean_reward,E0,four_leg_stand,6316032,39.601654052734375,0.0,1
Train_mean_reward,E0,four_leg_stand,6340608,39.60136795043945,0.0,1
Train_mean_reward,E0,four_leg_stand,6365184,39.598628997802734,0.0,1
Train_mean_reward,E0,four_leg_stand,6389760,39.59446716308594,0.0,1
Train_mean_reward,E0,four_leg_stand,6414336,39.59606552124024,0.0,1
Train_mean_reward,E0,four_leg_stand,6438912,39.595062255859375,0.0,1
